model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
lr,locked_test,reduced_smell_and_taste,0.03009027081243731,0.4800000000000001,0.035036496350364967,0.8,0.06713286713286713,0.04318693894436987
lr,locked_test,skin_irritation,0.0320962888665998,0.5000000000000001,0.04174573055028463,0.6875,0.07871198568872988,0.03859339694192386
lr,locked_test,itchiness,0.03510531594784353,0.5700000000000002,0.04419889502762431,0.22857142857142856,0.07407407407407407,0.05665202165752384
lr,locked_test,throbbing_headache,0.031093279839518557,0.44000000000000006,0.02877697841726619,0.7741935483870968,0.055491329479768786,0.037214645944234986
lr,locked_test,confusion,0.07021063189568706,0.43000000000000005,0.07398273736128237,0.8571428571428571,0.1362088535754824,0.09443619512903588
lr,locked_test,back_pain,0.037111334002006016,0.5200000000000001,0.047619047619047616,0.43243243243243246,0.08579088471849866,0.056050567832420926
lr,locked_test,knee_ache,0.03610832497492478,0.45000000000000007,0.036986301369863014,0.75,0.07049608355091384,0.04289185963767249
mlp,development_oof,nausea,0.15210843373493976,0.060000000000000005,0.1774802608994164,0.8531353135313532,0.29383347541915317,0.1683614458339504
mlp,development_oof,joint_pain,0.0665160642570281,0.12000000000000001,0.07120622568093385,0.690566037735849,0.1291005291005291,0.07109441938105172
mlp,development_oof,abdominal_pain,0.039909638554216864,0.05,0.03581661891117478,0.15723270440251572,0.058343057176196034,0.044438314747016344
mlp,development_oof,high_fever,0.10366465863453815,0.07,0.110580204778157,0.784503631961259,0.19383787017648818,0.1083445485816101
mlp,development_oof,chills,0.0625,0.05,0.0665314401622718,0.6586345381526104,0.1208548268238762,0.066047263790251
mlp,development_oof,fatigue,0.12474899598393574,0.060000000000000005,0.14206231454005935,0.7706237424547284,0.23989978077043533,0.13340178162623212
mlp,development_oof,runny_nose,0.0981425702811245,0.05,0.11363636363636363,0.9462915601023018,0.20290649849191117,0.10910738105825535
mlp,development_oof,dizziness,0.1307730923694779,0.07,0.1536059943802685,0.944337811900192,0.26423200859291085,0.1529001729323558
mlp,development_oof,headache,0.24397590361445784,0.05,0.24245472837022133,0.9917695473251029,0.3896523848019402,0.24630683598906397
mlp,development_oof,chest_pain,0.16842369477911648,0.07,0.18421052631578946,0.970193740685544,0.30963139120095123,0.18395100378016305
mlp,development_oof,vomiting,0.2090863453815261,0.05,0.2052511991921232,0.9759903961584634,0.33917396745932415,0.1941550206460045
mlp,development_oof,cough,0.060240963855421686,0.08000000000000002,0.06634146341463415,0.5666666666666667,0.11877729257641921,0.06301168498827425
mlp,development_oof,asthma,0.06701807228915663,0.18000000000000005,0.08157524613220815,0.21722846441947566,0.11860940695296524,0.06469200731515336
mlp,development_oof,severe_headache,0.09362449799196787,0.08000000000000002,0.1080568720379147,0.9168900804289544,0.1933295647258338,0.09790776603292016
mlp,development_oof,weakness,0.03589357429718876,0.1,0.039316239316239315,0.4825174825174825,0.07270811380400422,0.037178528314368554
mlp,development_oof,trouble_seeing,0.04066265060240964,0.13,0.04442200908632004,0.5432098765432098,0.08212785814279049,0.041627374080991604
mlp,development_oof,fever,0.03137550200803213,0.17000000000000004,0.04813664596273292,0.248,0.08062418725617686,0.04380359508342413
mlp,development_oof,body_aches,0.0338855421686747,0.15000000000000002,0.04905660377358491,0.0962962962962963,0.065,0.03581533603611559
mlp,development_oof,sore_throat,0.06475903614457831,0.05,0.06928922664282522,0.6007751937984496,0.12424849699398798,0.0695807151986147
mlp,development_oof,sneezing,0.036646586345381524,0.05,0.04105483967635601,0.9383561643835616,0.07866781510192362,0.04176448638543218
mlp,development_oof,diarrhea,0.039909638554216864,0.07,0.04577611319184353,0.6918238993710691,0.0858704137392662,0.0419691731066293
mlp,development_oof,rapid_breathing,0.0077811244979919675,0.060000000000000005,0.009184845005740528,0.25806451612903225,0.017738359201773836,0.007908706679109187
mlp,development_oof,rapid_heart_rate,0.0356425702811245,0.08000000000000002,0.04644808743169399,0.3591549295774648,0.08225806451612903,0.0425416302806009
mlp,development_oof,pain_behind_eyes,0.10793172690763052,0.05,0.10396164521826899,0.958139534883721,0.18757113589801958,0.10941450918248567
mlp,development_oof,swollen_glands,0.03288152610441767,0.08000000000000002,0.03599221789883268,0.8473282442748091,0.06905132192846034,0.034005846159554015
mlp,development_oof,rashes,0.06475903614457831,0.05,0.07732732732732733,0.7984496124031008,0.14099931553730322,0.07319574038982293
